"region","city","ISOALPHA","p_susceptible","p_susceptible1","high_risk"
"CA","Almaty","KAZ",79.2,0.00405398986500883,0.4
"CA","Bishkek","KGZ",82.9,0.00849639104775876,0.8
"CA","Dushanbe","TJK",86.7,0.00866179748499243,0.9
"CA","Ashgabat","TKM",83.2,0.00906741289075057,0.9
"CA","Tashkent","UZB",82.5,0.00950401661269308,1
"EA","Shanghai","CHN",69.1,0.0182584708776945,1.8
"EA","Hong Kong","HKG",61.1,0.0223503369050421,2.2
"EA","Taipei","TWN",64,0.0179091872157049,1.8
"EA","Tokyo","JPN",65.6,0.0149446781121846,1.5
"EA","Seoul","KOR",68.1,0.0172116121106106,1.7
"SA","Kabul","AFG",92,0.0119786680180493,1.2
"SA","Dhaka","BGD",84.9,0.0134394441135008,1.3
"SA","Mumbai","IND",78.7,0.0142008239836706,1.4
"SA","Tehran","IRN",78.1,0.0136705007772476,1.4
"SA","Kathmandu","NPL",82,0.00344340895449618,0.3
"SA","Karachi","PAK",88.4,0.0126590993043274,1.3
"SA","Colombo","LKA",75.3,0.0123126378700589,1.2
"SEA","Phnom Penh","KHM",89.7,0.0226796280402251,2.3
"SEA","Jakarta","IDN",77.1,0.0078763429345944,0.8
"SEA","Vientiane","LAO",88.7,0.0210640334248281,2.1
"SEA","Kuala Lumpur","MYS",79.7,0.019027286921094,1.9
"SEA","Yangon","MMR",78.7,0.0180472291535752,1.8
"SEA","Manila","PHL",87.6,0.01662836342899,1.7
"SEA","Singapore","SGP",72.7,0.020659262838487,2.1
"SEA","Bangkok","THA",69.2,0.0291457508784566,2.9
"SEA","Ho Chi Minh City","VNM",76.4,0.00762287752789657,0.8
"WA","Baku","AZE",79.5,0.00905389938134825,0.9
"WA","Baghdad","IRQ",87.6,0.00883250680003965,0.9
"WA","Jerusalem","ISR",80.3,0.00818742370371741,0.8
"WA","Amman","JOR",85.9,0.00925595728609028,0.9
"WA","Beirut","LBN",80.7,0.00846405300745268,0.8
"WA","Muscat","OMN",88,0.0110957972976259,1.1
"WA","Riyadh","SAU",86.6,0.0109109810833354,1.1
"WA","Aleppo","SYR",88.9,0.00970157188684683,1
"WA","Istanbul","TUR",77.9,0.00883016367960748,0.9
"WA","Dubai","ARE",92.8,0.0134505888112945,1.3
"WA","Sanaa","YEM",93.1,0.00894804804664994,0.9
